test_number,pdf_sem,img_sem,concurrency,start_time,end_time,duration_seconds
1,8,8,8,1745850353.7310467,1745850574.5614645,220.83,Success
2,8,8,12,1745850574.5618362,1745850852.9667983,278.40,Success
3,8,8,17,1745850852.967051,1745851219.8334937,366.87,Success
4,8,8,21,1745851219.8337069,1745851675.654585,455.82,Success
5,8,8,34,1745851675.654801,1745852299.3024802,623.65,Success
6,8,12,8,1745852299.3027148,1745852518.3380363,219.04,Success
7,8,12,12,1745852518.3382678,1745852794.029138,275.69,Success
8,8,12,17,1745852794.0293725,1745853172.429545,378.40,Success
9,8,12,21,1745853172.4297776,1745853620.9699998,448.54,Success
10,8,12,34,1745853620.9702356,1745854244.431298,623.46,Success
11,8,17,8,1745854244.431539,1745854474.9766314,230.55,Success
12,8,17,12,1745854474.9768655,1745854765.0333354,290.06,Success
13,8,17,17,1745854765.0335736,1745855142.9695375,377.94,Success
14,8,17,21,1745855142.9696412,1745855590.3368583,447.37,Failed (Test Failed: CalledProcessError - 1)
15,8,17,34,1745855590.3370457,1745856393.1812687,802.84,Failed (Test Failed: Unexpected Error - UnicodeDecodeError)
16,8,21,8,1745856393.1815286,1745856800.9558244,407.77,Success
17,8,21,12,1745856800.9560676,1745857623.692839,822.74,Success
18,8,21,17,1745857623.6929493,1745858210.65031,586.96,Success
19,8,21,21,1745858210.6504166,1745858876.5941637,665.94,Success
20,8,21,34,1745858876.595317,1745859690.3948581,813.80,Success
21,8,34,8,1745859690.395113,1745860127.6993163,437.30,Success
22,8,34,12,1745860127.6995573,1745860596.2093544,468.51,Success
23,8,34,17,1745860596.2095969,1745861159.9103618,563.70,Success
24,8,34,21,1745861159.9106045,1745861811.1296422,651.22,Success
25,8,34,34,1745861811.1298804,1745862674.0626447,862.93,Success
26,12,8,8,1745862674.0628908,1745863093.3186033,419.26,Success
27,12,8,12,1745863093.3188417,1745863590.9582949,497.64,Success
28,12,8,17,1745863590.9585314,1745864200.7909248,609.83,Success
29,12,8,21,1745864200.7911818,1745864896.6311846,695.84,Success
30,12,8,34,1745864896.6314292,1745865851.3273866,954.70,Success
31,12,12,8,1745865851.327629,1745866277.5522344,426.22,Success
32,12,12,12,1745866277.5524733,1745866749.418847,471.87,Success
33,12,12,17,1745866749.4191017,1745867327.7476304,578.33,Success
34,12,12,21,1745867327.7478914,1745868012.8573632,685.11,Success
35,12,12,34,1745868012.8576314,1745868868.0302532,855.17,Success
36,12,17,8,1745868868.0304945,1745869299.6966414,431.67,Success
37,12,17,12,1745869299.6968896,1745869823.152526,523.46,Success
38,12,17,17,1745869823.1527638,1745870422.1436517,598.99,Success
